Zip Code,Status,Latitude,Longitude
HD8 9DF,Sale,53.58972903214286,-1.649050782142857
TS24 9HH,Sale,54.70704,-1.22191
RG1 7DA,Sale,51.457499825,-0.980714325
EN8 9HF,Sale,51.70572,-0.02999
E9 6AB,Sale,51.5472957,-0.0426461
DE23 8LL,Sale,52.9098888,-1.46423525
N11 2RT,Sale,51.61201,-0.13376
SP11 7NW,Sale,51.19137,-1.521
WA3 2UE,Sale,53.469623742,-2.584024552
ME1 3GN,Sale,51.34361,0.4627
ME19 5SJ,Sale,51.30961,0.40582
LS6 2DB,Sale,53.82143,-1.57067
UB1 2BB,Sale,51.51592,-0.38013
SS2 6EA,Sale,51.54561,0.7097
AL3 5PT,Sale,51.7588268,-0.3411649
S9 3BG,Sale,53.38759,-1.42185
BS9 2DF,Sale,51.4874621,-2.6410935
EN6 3JA,Sale,51.69382,-0.20995
ST16 1PU,Sale,52.82313,-2.14405
E14 6RR,Sale,51.5175425,-0.0164014
LE2 1DQ,Sale,52.6286721,-1.1136791
BA22 8HT,Sale,51.0053449,-2.6345345
WA11 0FA,Sale,53.4698,-2.67145
N9 9EF,Sale,51.6311,-0.06511
NW9 4BS,Sale,51.59852,-0.2456
NG1 3LW,Sale,52.9569257,-1.14614844
HD1 4NR,Sale,53.65329033888889,-1.8031741388888889
RG30 2SF,Sale,51.45554,-1.00281
CT4 7DY,Sale,51.215370766666666,0.9750506666666666
N15 5PU,Sale,51.5808267,-0.0829526
SE8 3JX,Sale,51.4876,-0.03504
CF5 1AS,Sale,51.48796,-3.21236
RH19 1BA,Sale,51.1272105,-0.0157926
B92 8JH,Sale,52.44930157857143,-1.78191545
BB1 9TQ,Sale,53.762638323684214,-2.473428134210526
IP13 8HP,Sale,52.27641,1.37399
FY8 5QZ,Sale,53.73823,-2.98435
OX12 7AG,Sale,51.590056522580646,-1.424916464516129
M32 8QN,Sale,53.44965,-2.29567
M1 7AX,Sale,53.47543803333333,-2.237152233333333
SS2 4NR,Sale,51.54252,0.73376
BD22 7QT,Sale,53.8438,-1.94922
N19 5EF,Sale,51.55778,-0.13639
SW5 9AP,Sale,51.49206,-0.19231
TS23 4AH,Sale,54.60432,-1.28124
YO10 3PP,Sale,53.95777,-1.03988
HA7 2AR,Sale,51.60352,-0.32327
E4 8DW,Sale,51.61933,-0.01872
S21 1ET,Sale,53.31653,-1.31574
G12 0AX,Sale,55.89073,-4.31916
PR1 2QF,Sale,53.76185,-2.70183
S60 8AD,Sale,53.3819299,-1.3720699
NN16 9PL,Sale,52.40988,-0.7137599
AL2 1FU,Sale,51.72626,-0.29507
B64 5DF,Sale,52.4731031,-2.081213
PH1 2UD,Sale,56.41249,-3.47323
E7 9BW,Sale,51.5523875,0.0175536
SK11 7RY,Sale,53.24719,-2.12484
MK43 9SL,Sale,52.07285,-0.5062799
L14 0PH,Sale,53.41838,-2.86767
SS15 5BN,Sale,51.572,0.44879
CO7 8AR,Sale,51.85222055,1.00114495
OL7 9HH,Sale,53.49545,-2.11143
SY2 5LA,Sale,52.7096832,-2.7186942
M41 9NL,Sale,53.4446299,-2.33308
B68 8HQ,Sale,52.49167,-2.0025
CB2 9FH,Sale,52.1737173,0.12153001000000001
E17 9EP,Sale,51.585,-0.00634
WS5 4EA,Sale,52.56025,-1.95376
NW2 6YQ,Sale,51.56234,-0.23271
N10 1AX,Sale,51.60365,-0.14936
SO19 2HU,Sale,50.8987859,-1.3692716
M11 4EZ,Sale,53.48395,-2.18595
HP14 3SQ,Sale,51.6535,-0.89133
SW11 2PY,Sale,51.46984,-0.17038
TR16 4JQ,Sale,50.24449,-5.25281
E6 1PX,Sale,51.53274895,0.04118725
NE5 1BY,Sale,55.01122,-1.72204
BA2 6NB,Sale,51.38637,-2.353
NE21 4FJ,Sale,54.97072,-1.73007
SW19 7LJ,Sale,51.42766,-0.20029
W8 5AH,Sale,51.49976,-0.18516
RH6 8HT,Sale,51.18556,-0.1732499
L19 2JW,Sale,53.35472,-2.90298
GU14 7BW,Sale,51.2918919,-0.7448165
PE8 6ST,Sale,52.50845,-0.41335
HP3 8DN,Sale,51.7474799,-0.4468669
DG11 1NU,Sale,55.12812,-3.44131
TF10 7LZ,Sale,52.77033,-2.37255
B8 2DR,Sale,52.4966756,-1.8371798
SK2 7JJ,Sale,53.3875699,-2.13696
DH2 1FP,Sale,54.8716893,-1.6243325
WN5 7AU,Sale,53.52823,-2.71027
SL4 3JZ,Sale,51.46934,-0.61184
NW8 8EU,Sale,51.5230238,-0.170138
SA1 6YN,Sale,51.6255499,-3.9447
CF5 3EG,Sale,51.48979,-3.25049
SA2 7TP,Sale,51.6277199,-4.0404799
S72 7FJ,Sale,53.57659,-1.37999
SW9 6NT,Sale,51.4715,-0.11053
DE55 4HZ,Sale,53.0764,-1.36854
B37 7SG,Sale,52.47714439375,-1.72885545
E3 3PE,Sale,51.52403,-0.0174
AB16 7HT,Sale,57.16471075454545,-2.1672093727272728
BB5 0EH,Sale,53.74965,-2.39742
M20 6UA,Sale,53.4168499,-2.23239
CW9 7BP,Sale,53.26001,-2.4948
PR2 8JH,Sale,53.77743,-2.7128
LU1 1NU,Sale,51.8823999,-0.43569
NG4 1BP,Sale,52.96278,-1.09103
BN3 4AB,Sale,50.82936,-0.18029
LS8 4BS,Sale,53.82184,-1.51375
B16 8DB,Sale,52.4758915,-1.9184848
LS17 8SZ,Sale,53.85714,-1.50466
RM2 5LH,Sale,51.58364,0.1949799
RM8 1TL,Sale,51.56558,0.12931
M14 4BX,Sale,53.45555,-2.23054
B14 7RA,Sale,52.432125445454545,-1.8952800954545452
BS6 5RR,Sale,51.46479585,-2.59034585
NE47 9AS,Sale,54.89965,-2.24683
SE26 6AG,Sale,51.43165,-0.06843
BN23 7AY,Sale,50.79505,0.31502
SE26 6DQ,Sale,51.4248199,-0.05794
DA1 4EP,Sale,51.45442,0.17321
LE2 2GS,Sale,52.6118499,-1.07352
ME7 1LH,Sale,51.38908,0.5450199
CB1 3NF,Sale,52.19738827173913,0.14524760217391303
PR7 7JX,Sale,53.67659270980392,-2.6721042784313727
BA14 9QR,Sale,51.297,-2.23033
G31 2RS,Sale,55.85931,-4.2158
G72 7AH,Sale,55.81862,-4.1886599
MK10 7BF,Sale,52.04611,-0.68973
B20 1NW,Sale,52.5175247,-1.9338382
CF46 5RP,Sale,51.662173959183676,-3.2996251530612244
HU7 3AB,Sale,53.80262,-0.3568799
BR5 4BD,Sale,51.38956,0.11573
TQ12 6RJ,Sale,50.5702715,-3.6552861
TN37 7DY,Sale,50.8715,0.55572
IG8 7GN,Sale,51.60769,0.04293
SE22 0BA,Sale,51.4515003625,-0.069586925
CA28 9BL,Sale,54.5353,-3.59864
E6 1BP,Sale,51.5370624,0.0406033
B13 0ED,Sale,52.4234134,-1.8609633666666667
WF8 2AH,Sale,53.68768,-1.29829
IP22 4QL,Sale,52.38351251785714,1.1044873714285715
B91 1HG,Sale,52.41825686956522,-1.8168222391304347
LU5 5QQ,Sale,51.91154302037037,-0.5045458518518519
WV10 6EN,Sale,52.62407,-2.1344
M16 0WP,Sale,53.4565942375,-2.27799065
YO12 6SF,Sale,54.2948918,-0.4399297
MK45 5DB,Sale,52.00237,-0.4667
ST4 8FL,Sale,52.97167,-2.17692
CT3 3AS,Sale,51.2269259,1.2082606
PL4 0AF,Sale,50.371,-4.13374
E15 3DU,Sale,51.5323337,0.0112291
OX12 7GD,Sale,51.59599,-1.40327
BL3 4SP,Sale,53.55845,-2.48961
PR2 6SH,Sale,53.78556,-2.65843
BN27 3GH,Sale,50.87518,0.23947
BA1 9DN,Sale,51.40582,-2.37325
BN9 9EG,Sale,50.78841,0.04858
DY4 8PQ,Sale,52.52506,-2.07057
CV6 2BW,Sale,52.42857,-1.53338
SW7 2JA,Sale,51.49538,-0.17439
CM0 7DZ,Sale,51.6768637,0.850257
DE14 2HT,Sale,52.80803145,-1.6514245043478262
